date,equity,cash,daily_turnover,holdings_count
2010-01-04,9.998575e+07,4.986071e+06,94999680.0,19
2010-01-05,1.0152742e+08,4.9753465e+06,30453416.0,19
2010-01-06,1.0276476e+08,5.0442225e+06,20625526.0,19
2010-01-07,1.0214016e+08,885699.5,46921996.0,20
2010-01-08,1.0229768e+08,2.1967298e+07,21084760.0,16
2010-01-11,1.0206663e+08,1.5504545e+06,20413782.0,20
2010-01-12,1.024661e+08,6.446627e+06,4896907.0,19
2010-01-13,1.0359619e+08,924375.0,25561546.0,20
2010-01-14,1.0376867e+08,2.3997328e+07,23076416.0,16
2010-01-15,1.03183384e+08,2.3625275e+06,40284360.0,20
2010-01-19,1.034435e+08,7.566622e+06,5204875.0,19
2010-01-20,1.0232114e+08,2.198471e+06,15098790.0,20
2010-01-21,9.9985544e+07,6.938778e+06,4741018.0,19
2010-01-22,9.981801e+07,1.2066875e+06,44185776.0,20
2010-01-25,1.0166104e+08,1.2066875e+06,0.0,20
2010-01-26,9.916171e+07,1.2066875e+06,0.0,20
2010-01-27,9.993981e+07,1.1686914e+07,10481798.0,18
2010-01-28,9.983637e+07,1.9767615e+06,20244672.0,20
2010-01-29,9.586443e+07,7.207287e+06,5231310.0,19
2010-02-01,9.854828e+07,2.279097e+06,4927451.0,20
2010-02-02,9.787354e+07,1.271453e+07,10436999.0,18
2010-02-03,9.916286e+07,2.9328655e+06,19970606.0,20
2010-02-04,9.409969e+07,2.9328655e+06,0.0,20
2010-02-05,9.3675144e+07,1.2149292e+07,9217808.0,18
2010-02-08,9.4657944e+07,2.75967e+06,19011458.0,20
2010-02-09,9.453177e+07,9.768729e+06,7010110.0,18
2010-02-10,9.427804e+07,90277.0,18578890.0,20
2010-02-11,9.24802e+07,1.4442597e+07,14354472.0,17
2010-02-12,9.270758e+07,980184.5,32898774.0,20
2010-02-16,9.528296e+07,1.1017094e+07,10038415.0,18
2010-02-17,9.608683e+07,2.031861e+06,39066880.0,20
2010-02-18,9.6764136e+07,1.1384285e+07,9353827.0,18
2010-02-19,9.644556e+07,1.0970515e+06,37936872.0,20
2010-02-22,9.699979e+07,6.5069185e+06,5410678.5,19
2010-02-23,9.764299e+07,1.776834e+06,44088756.0,20
2010-02-24,9.8012856e+07,1.7344632e+07,15570133.0,17
2010-02-25,9.870302e+07,2.325647e+06,34340164.0,20
2010-02-26,9.884316e+07,1.4126256e+07,11802380.0,18
2010-03-01,9.914031e+07,4.2312955e+06,39683172.0,20
2010-03-02,9.765792e+07,1.3063974e+07,8834004.0,18
2010-03-03,9.6585736e+07,4.267435e+06,39505208.0,20
2010-03-04,9.645485e+07,1.4520596e+07,10254700.0,18
2010-03-05,9.6187096e+07,5.3871995e+06,29347492.0,20
2010-03-08,9.747877e+07,5.3871995e+06,0.0,20
2010-03-09,9.491311e+07,5.6751205e+06,19274012.0,20
2010-03-10,9.714969e+07,4.13738e+06,27612534.0,20
2010-03-11,9.7073976e+07,1.4134496e+07,9998615.0,18
2010-03-12,9.764346e+07,4.369366e+06,9763666.0,20
2010-03-15,9.66908e+07,5.633229e+06,20605724.0,20
2010-03-16,9.887396e+07,5.9061545e+06,10161998.0,20
2010-03-17,9.8577816e+07,5.8456075e+06,19658544.0,20
2010-03-18,9.760538e+07,2.99053e+06,26431680.0,20
2010-03-19,9.738146e+07,1.765984e+07,14671511.0,17
2010-03-22,9.722693e+07,3.1008425e+06,24336864.0,20
2010-03-23,9.8764776e+07,1.6975126e+07,13876365.0,17
2010-03-24,9.873471e+07,3.0778995e+06,45353736.0,20
2010-03-25,9.8229384e+07,1.3181646e+07,10105263.0,18
2010-03-26,9.807567e+07,2.296148e+06,28350622.0,20
2010-03-29,9.515775e+07,2.296148e+06,0.0,20
2010-03-30,9.559135e+07,7.410433e+06,5115052.5,19
2010-03-31,9.554023e+07,2.632669e+06,4777047.5,20
2010-04-01,9.7666e+07,1.2958276e+07,10327156.0,18
2010-04-05,9.6823656e+07,4.015789e+06,39477652.0,20
2010-04-06,1.05007384e+08,9.133819e+06,5118798.0,19
2010-04-07,1.0779925e+08,7.553934e+06,63114736.0,20
2010-04-08,1.1190842e+08,7.6152545e+06,11254015.0,20
2010-04-09,1.1145305e+08,7.907654e+06,33733628.0,20
2010-04-12,1.1055822e+08,4.9005915e+06,63343024.0,20
2010-04-13,1.0937683e+08,1.0209576e+07,5309781.0,19
2010-04-14,1.1235001e+08,4.6689215e+06,50645724.0,20
2010-04-15,1.1331082e+08,1.0088096e+07,5419987.5,19
2010-04-16,1.1355604e+08,4.062907e+06,28046998.0,20
2010-04-19,1.1159876e+08,2.5826854e+07,21767214.0,16
2010-04-20,1.1230458e+08,3.1002055e+06,44666796.0,20
2010-04-21,1.1020085e+08,3.1002055e+06,0.0,20
2010-04-22,1.1092675e+08,2.0517996e+07,17420404.0,17
2010-04-23,1.1086414e+08,3.8865925e+06,16628909.0,20
2010-04-26,1.1287019e+08,1.5087654e+07,11202742.0,18
2010-04-27,1.1069169e+08,4.97176e+06,34167748.0,20
2010-04-28,1.1238892e+08,1.59141e+07,10943980.0,18
2010-04-29,1.1446727e+08,5.213104e+06,57992960.0,20
2010-04-30,1.1379094e+08,5.213104e+06,0.0,20
2010-05-03,1.1346451e+08,5.213104e+06,0.0,20
2010-05-04,1.119034e+08,2.89559e+06,31259580.0,20
2010-05-05,1.1081171e+08,2.89559e+06,0.0,20
2010-05-06,1.0699322e+08,2.89559e+06,0.0,20
2010-05-07,1.0686278e+08,8.822234e+06,5927533.0,19
2010-05-10,1.0784118e+08,1.610982e+06,25146008.0,20
2010-05-11,1.0769897e+08,1.9046544e+07,17438180.0,17
2010-05-12,1.0950197e+08,2.618454e+06,16425626.0,20
2010-05-13,1.0820537e+08,2.5140896e+07,22525824.0,16
2010-05-14,1.0850885e+08,3.520702e+06,54325872.0,20
2010-05-17,1.0624005e+08,3.520702e+06,0.0,20
2010-05-18,1.04457736e+08,3.520702e+06,0.0,20
2010-05-19,1.0389101e+08,1.527691e+07,11757972.0,18
2010-05-20,1.0074158e+08,4.2876965e+06,29313544.0,20
2010-05-21,1.0267973e+08,1.0375108e+07,6088325.0,19
2010-05-24,1.0214586e+08,5.267011e+06,5107331.0,20
2010-05-25,1.005129e+08,5.3565385e+06,20195736.0,20
2010-05-26,1.0153043e+08,5.3565385e+06,0.0,20
2010-05-27,1.05830776e+08,5.748139e+06,63882272.0,20
2010-05-28,1.0634677e+08,6.1647925e+06,32326982.0,20
2010-06-01,1.078896e+08,4.785968e+06,20202732.0,20
2010-06-02,1.08118216e+08,1.0298638e+07,5513497.0,19
2010-06-03,1.0709849e+08,6.4891975e+06,60464120.0,20
2010-06-04,1.090167e+08,6.4891975e+06,0.0,20
2010-06-07,1.0767648e+08,5.9777575e+06,10257896.0,20
2010-06-08,1.1003914e+08,5.6662875e+06,10694208.0,20
2010-06-09,1.0699191e+08,5.441824e+06,21177260.0,20
2010-06-10,1.087186e+08,5.0701445e+06,10501900.0,20
2010-06-11,1.1024688e+08,4.282032e+06,21264886.0,20
2010-06-14,1.1113777e+08,1.0017877e+07,5736705.5,19
2010-06-15,1.1140791e+08,5.112289e+06,50809528.0,20
2010-06-16,1.1257275e+08,6.531209e+06,35197560.0,20
2010-06-17,1.13707784e+08,5.2634545e+06,10104690.0,20
