date,equity,cash,daily_turnover,holdings_count
2010-01-04,9.9987e+07,1.3332926e+07,86654080.0,26
2010-01-05,1.0139781e+08,3.3425698e+06,64384688.0,29
2010-01-06,1.0317813e+08,248940.5,45066020.0,30
2010-01-07,1.0287753e+08,1.7812642e+07,17566336.0,25
2010-01-08,1.0305016e+08,1.2698775e+06,52169364.0,30
2010-01-11,1.0323263e+08,1.1921952e+07,10653672.0,27
2010-01-12,1.0327216e+08,1.552923e+06,24059748.0,30
2010-01-13,1.0420369e+08,8.275385e+06,6723471.0,28
2010-01-14,1.0446338e+08,2.886187e+06,43369716.0,30
2010-01-15,1.0433017e+08,6.178144e+06,3292451.0,29
2010-01-19,1.0508589e+08,2.7578822e+06,24607292.0,30
2010-01-20,1.0367769e+08,1.3142852e+07,10386528.0,27
2010-01-21,1.0170292e+08,2.9996572e+06,16978676.0,30
2010-01-22,1.0098889e+08,1.6198219e+07,13200542.0,26
2010-01-25,1.027571e+08,2.4950835e+06,13701081.0,30
2010-01-26,1.0144721e+08,2.4950835e+06,0.0,30
2010-01-27,1.01932856e+08,9.491587e+06,6997553.0,28
2010-01-28,1.0181313e+08,2.4788708e+06,20141216.0,30
2010-01-29,9.884546e+07,9.245494e+06,6767639.0,28
2010-02-01,1.0123732e+08,2.6563978e+06,13660756.0,30
2010-02-02,1.0161515e+08,2.0620084e+07,17966380.0,25
2010-02-03,1.02218744e+08,3.1106488e+06,30199056.0,30
2010-02-04,9.7595e+07,3.0685908e+06,6465309.0,30
2010-02-05,9.7278584e+07,2.888089e+06,12791794.0,30
2010-02-08,9.7069096e+07,2.888089e+06,0.0,30
2010-02-09,9.777828e+07,7.5470625e+06,4659672.5,28
2010-02-10,9.772329e+07,751214.0,12729424.0,30
2010-02-11,9.72773e+07,1.7528798e+07,16780100.0,25
2010-02-12,9.7526216e+07,1.3580138e+06,42354992.0,30
2010-02-16,9.968543e+07,2.4867364e+07,23512878.0,23
2010-02-17,1.0032547e+08,1.4049512e+06,50122536.0,30
2010-02-18,1.0125348e+08,1.4922744e+07,13519820.0,26
2010-02-19,1.0137435e+08,7.317364e+06,53229656.0,28
2010-02-22,1.0186729e+08,7.748453e+06,34381020.0,28
2010-02-23,1.0241242e+08,2.4955412e+07,24038304.0,23
2010-02-24,1.0271077e+08,2.5456518e+07,27895908.0,23
2010-02-25,1.02958216e+08,4.6677475e+06,34129960.0,29
