date,equity,cash,daily_turnover,holdings_count
2010-01-04,9.9986504e+07,9.986518e+06,89999984.0,9
2010-01-05,1.0300599e+08,3.0346188e+07,20362724.0,7
2010-01-06,1.03522424e+08,8.111714e+06,81312304.0,9
2010-01-07,1.0305708e+08,3.9901644e+07,31794696.0,6
2010-01-08,1.028268e+08,9.760794e+06,52134136.0,9
2010-01-11,1.0334413e+08,4.122521e+07,31469136.0,6
2010-01-12,1.0698871e+08,7.829219e+06,73614552.0,9
2010-01-13,1.0711654e+08,3.9947748e+07,32123348.0,6
2010-01-14,1.0781194e+08,1.487524e+06,112516928.0,10
2010-01-15,1.068083e+08,4.324575e+07,41764492.0,6
2010-01-19,1.0703616e+08,1.480796e+06,108124416.0,10
2010-01-20,1.0566664e+08,2.2203248e+07,20725560.0,8
2010-01-21,1.0438334e+08,9.797529e+06,92004672.0,9
2010-01-22,1.0387478e+08,5.107059e+07,41279256.0,5
2010-01-25,1.0631291e+08,8.027081e+06,84559872.0,9
2010-01-26,1.03335976e+08,4.0559244e+07,32537044.0,6
2010-01-27,1.0466545e+08,9.339353e+06,94409712.0,9
2010-01-28,1.0519344e+08,6.177064e+07,52439148.0,4
2010-01-29,1.0035661e+08,2.632292e+06,101470016.0,10
2010-02-01,1.07868856e+08,3.4528436e+07,31900930.0,7
2010-02-02,1.067939e+08,2.6026e+06,74889208.0,10
2010-02-03,1.0501101e+08,4.424964e+07,41653292.0,6
2010-02-04,1.006245e+08,3.461504e+06,79987640.0,10
2010-02-05,1.0112464e+08,5.0260384e+07,46805904.0,5
2010-02-08,1.0084534e+08,9.048416e+06,79828520.0,9
2010-02-09,9.97471e+07,4.013923e+07,31095484.0,6
2010-02-10,9.870493e+07,9.6518e+06,48455172.0,9
2010-02-11,9.264522e+07,8.544343e+06,73028120.0,9
2010-02-12,9.240926e+07,2.6506004e+07,17964358.0,7
2010-02-16,9.53363e+07,7.435316e+06,19067828.0,9
2010-02-17,9.577701e+07,2.8431508e+07,20999340.0,7
2010-02-18,9.680882e+07,9.066264e+06,19362340.0,9
2010-02-19,9.751812e+07,1.9681232e+07,10616559.0,8
2010-02-22,9.538075e+07,1.908977e+06,77629680.0,10
2010-02-23,9.685082e+07,2.0935896e+07,19029772.0,8
2010-02-24,9.81251e+07,2.749006e+06,40671056.0,10
2010-02-25,9.737753e+07,4.0135668e+07,37392272.0,6
2010-02-26,9.747454e+07,1.491868e+06,58846812.0,10
2010-03-01,9.706794e+07,3.1912776e+07,30425472.0,7
2010-03-02,9.172941e+07,4.846822e+06,64682812.0,10
2010-03-03,9.122518e+07,2.2613418e+07,17769262.0,8
2010-03-04,9.195668e+07,5.870214e+06,93635536.0,10
2010-03-05,9.275802e+07,2.4236166e+07,18368708.0,8
2010-03-08,9.158617e+07,6.472941e+06,73834712.0,10
2010-03-09,8.928173e+07,2.3944564e+07,17474246.0,8
2010-03-10,9.086235e+07,6.92786e+06,73867784.0,10
2010-03-11,9.117876e+07,2.50587e+07,18133560.0,8
2010-03-12,9.122102e+07,6.569895e+06,91004872.0,10
2010-03-15,8.980558e+07,2.4297728e+07,17730494.0,8
2010-03-16,9.087584e+07,5.644238e+06,35859900.0,10
2010-03-17,9.064921e+07,3.2395372e+07,26755148.0,7
2010-03-18,9.056389e+07,1.446236e+06,77753184.0,10
2010-03-19,9.0535624e+07,2.633547e+07,24892968.0,7
2010-03-22,8.974134e+07,8.129264e+06,71556552.0,9
2010-03-23,9.2314904e+07,4.6146684e+07,38023120.0,5
2010-03-24,9.177933e+07,9.120508e+06,73114864.0,9
2010-03-25,9.219079e+07,6.511603e+07,56003928.0,3
2010-03-26,9.2857064e+07,131024.0,102200296.0,10
2010-03-29,8.919897e+07,3.751754e+07,37392124.0,6
2010-03-30,8.821079e+07,3.409618e+06,71768648.0,10
2010-03-31,8.959888e+07,3.9697708e+07,36293536.0,6
2010-04-01,9.362263e+07,851414.0,110992640.0,10
2010-04-05,9.020131e+07,1.9669252e+07,18820662.0,8
2010-04-06,1.00592344e+08,9.163396e+06,29737116.0,9
2010-04-07,9.798037e+07,3.3895076e+07,24735390.0,7
2010-04-08,1.0416279e+08,2.640196e+06,31250192.0,10
2010-04-09,1.0591907e+08,4.3586756e+07,40952704.0,6
2010-04-12,1.0438232e+08,4.351883e+06,86052280.0,10
2010-04-13,1.0377658e+08,4.093705e+07,36590656.0,6
2010-04-14,1.0472617e+08,753954.0,106471840.0,10
2010-04-15,1.0515276e+08,2.2251972e+07,21501244.0,8
2010-04-16,1.05217416e+08,677297.0,104718696.0,10
2010-04-19,1.031755e+08,3.2309756e+07,31637204.0,7
2010-04-20,1.0483083e+08,791168.0,136263888.0,10
2010-04-21,1.0108908e+08,4.2226684e+07,41441732.0,6
2010-04-22,1.01208936e+08,2.165343e+06,61164112.0,10
2010-04-23,1.0556916e+08,2.283504e+07,20672796.0,8
2010-04-26,1.04322376e+08,9.955519e+06,49725688.0,9
2010-04-27,1.0212464e+08,2.9952724e+07,20000204.0,7
2010-04-28,1.0490926e+08,4.136095e+06,100107392.0,10
2010-04-29,1.0962962e+08,5.8632292e+07,54504372.0,5
2010-04-30,1.09577224e+08,317162.0,95126760.0,10
2010-05-03,1.07129e+08,4.28161e+07,42505312.0,6
2010-05-04,1.0474689e+08,1.0462487e+07,72414944.0,9
2010-05-05,1.0182464e+08,9.201637e+06,59848256.0,9
2010-05-06,1.0041725e+08,4.9549348e+07,40353764.0,5
2010-05-07,1.0196115e+08,9.026356e+06,81857376.0,9
2010-05-10,1.0595513e+08,6.5467148e+07,56449256.0,4
2010-05-11,1.0596055e+08,381962.0,125696184.0,10
2010-05-12,1.09291304e+08,4.5932724e+07,45557592.0,6
2010-05-13,1.0913827e+08,1.676408e+06,86738112.0,10
2010-05-14,1.0967848e+08,4.4179104e+07,42509072.0,6
2010-05-17,1.1009786e+08,1.0390462e+07,54304304.0,9
2010-05-18,1.0913859e+08,3.4085668e+07,23698760.0,7
2010-05-19,1.0913967e+08,1.337388e+06,32743368.0,10
2010-05-20,1.0656873e+08,2.271493e+07,21380750.0,8
2010-05-21,1.091537e+08,9.451725e+06,74079504.0,9
2010-05-24,1.07474344e+08,6.4370356e+07,54926868.0,4
2010-05-25,1.065989e+08,1.050453e+06,107279696.0,10
2010-05-26,1.085477e+08,7.633513e+07,75295968.0,3
2010-05-27,1.0809048e+08,1.626126e+06,119886704.0,10
2010-05-28,1.0984546e+08,4.528608e+07,43666504.0,6
2010-06-01,1.1297012e+08,492864.0,90800872.0,10
2010-06-02,1.1231486e+08,3.5323972e+07,34836332.0,7
2010-06-03,1.1128064e+08,1.803328e+06,55518852.0,10
2010-06-04,1.1606254e+08,2.663404e+07,24834436.0,8
2010-06-07,1.1483944e+08,1.1420988e+07,76679144.0,9
2010-06-08,1.1338483e+08,446240.0,57069816.0,10
2010-06-09,1.11925576e+08,2.3455244e+07,23012456.0,8
2010-06-10,1.14952856e+08,18769.0,68544048.0,10
2010-06-11,1.1619921e+08,3.377783e+07,33764128.0,7
2010-06-14,1.171977e+08,1.1098474e+07,71097400.0,9
2010-06-15,1.1965344e+08,4.5925316e+07,34832068.0,6
2010-06-16,1.1761904e+08,1.03372e+07,82054864.0,9
2010-06-17,1.1921188e+08,3.2919032e+07,22585220.0,7
2010-06-18,1.1842582e+08,1.0696081e+07,48844260.0,9
2010-06-21,1.17770696e+08,2.5532384e+07,14838528.0,8
2010-06-22,1.17050584e+08,2.650882e+06,94196112.0,10
2010-06-23,1.153206e+08,5.790115e+07,55258556.0,5
2010-06-24,1.1626494e+08,1.0752501e+07,92399768.0,9
2010-06-25,1.1884555e+08,3.5027852e+07,24278992.0,7
2010-06-28,1.1750839e+08,1.836079e+06,84341792.0,10
2010-06-29,1.13871016e+08,2.4473704e+07,22641020.0,8
2010-06-30,1.1448274e+08,908741.0,90902560.0,10
2010-07-01,1.14001416e+08,3.508269e+07,34179072.0,7
2010-07-02,1.1297619e+08,1.03686e+06,56346460.0,10
2010-07-06,1.139607e+08,3.7620148e+07,36588776.0,7
2010-07-07,1.0928977e+08,3.568636e+06,118996968.0,10
2010-07-08,1.0842855e+08,4.2548692e+07,38985904.0,6
2010-07-09,1.093741e+08,1.0349527e+07,99082432.0,9
2010-07-12,1.1114841e+08,3.467767e+07,24331792.0,7
2010-07-13,1.0970777e+08,1.421507e+06,54524744.0,10
2010-07-14,1.1626854e+08,2.3827516e+07,22409370.0,8
