date,equity,cash,daily_turnover,holdings_count
2010-01-04,9.998501e+07,21822.0,99963192.0,10
2010-01-05,1.0078127e+08,1.9433228e+07,19414316.0,8
2010-01-06,9.8356616e+07,9.778523e+06,49371104.0,9
2010-01-07,9.802731e+07,9.778523e+06,0.0,9
2010-01-08,9.6540584e+07,1.823515e+06,69241464.0,10
2010-01-11,9.924105e+07,3.0333648e+07,28514408.0,7
2010-01-12,9.725187e+07,1.074846e+06,68011696.0,10
2010-01-13,9.752606e+07,2.5799408e+07,24728272.0,7
2010-01-14,9.4411096e+07,7.985957e+06,57731016.0,9
2010-01-15,9.418875e+07,2.5863638e+07,17880364.0,7
2010-01-19,9.2381976e+07,7.972447e+06,37533872.0,9
2010-01-20,9.061318e+07,2.8516824e+07,20547458.0,7
2010-01-21,8.9294984e+07,1.456199e+06,44387296.0,10
2010-01-22,8.6866264e+07,1.456199e+06,0.0,10
2010-01-25,8.92901e+07,1.0408454e+07,8953598.0,9
2010-01-26,8.946571e+07,1.460405e+06,8946707.0,10
2010-01-27,8.742016e+07,1.8572612e+07,17114776.0,8
2010-01-28,8.995089e+07,1.354402e+06,54757288.0,10
2010-01-29,8.949883e+07,1.354402e+06,0.0,10
2010-02-01,8.877007e+07,1.6798424e+07,15446339.0,8
2010-02-02,8.906782e+07,8.404252e+06,27238656.0,9
2010-02-03,8.684695e+07,1.682342e+07,8420430.0,8
2010-02-04,8.576424e+07,8.101298e+06,59905432.0,9
2010-02-05,8.7702136e+07,2.5516748e+07,17418062.0,7
2010-02-08,8.622052e+07,7.769854e+06,33993568.0,9
2010-02-09,8.5354696e+07,2.5151948e+07,17384700.0,7
2010-02-10,8.674025e+07,5.264719e+06,84226728.0,9
2010-02-11,8.563029e+07,2.2623706e+07,17361592.0,7
2010-02-12,8.483614e+07,5.663198e+06,50921540.0,9
2010-02-16,8.323888e+07,2.2856384e+07,17195766.0,7
2010-02-17,8.215644e+07,7.25548e+06,50137372.0,9
2010-02-18,8.28045e+07,7.25548e+06,0.0,9
2010-02-19,7.957814e+07,5.532369e+07,48075416.0,3
2010-02-22,7.9204264e+07,7.6020595e+06,63187052.0,9
2010-02-23,7.842871e+07,1.5505251e+07,7904377.0,8
2010-02-24,7.905068e+07,203.5,31933020.0,10
2010-02-25,7.893473e+07,1.490227e+07,14904302.0,8
2010-02-26,7.993501e+07,7.3434585e+06,24420314.0,9
2010-03-01,7.797349e+07,1.5908196e+07,8566022.0,8
2010-03-02,7.858365e+07,7.851004e+06,39102384.0,9
2010-03-03,7.8161416e+07,34995.0,23453420.0,10
2010-03-04,8.049228e+07,8.433786e+06,8400051.0,9
2010-03-05,7.86925e+07,1.904838e+06,56440272.0,10
2010-03-08,7.672279e+07,1.709617e+07,15193611.0,8
2010-03-09,7.819884e+07,1.451733e+06,31279748.0,10
2010-03-10,7.9044296e+07,9.121796e+06,7671213.5,9
