date,equity,cash,daily_turnover,holdings_count
2010-01-04,9.998576e+07,4.985836e+06,94999920.0,19
2010-01-05,1.0151466e+08,5.0020785e+06,20322628.0,19
2010-01-06,1.024081e+08,1.181157e+06,57637276.0,20
2010-01-07,1.03171e+08,1.6760974e+07,15582154.0,17
2010-01-08,1.0423253e+08,708779.5,67351728.0,20
2010-01-11,1.03781896e+08,1.2448352e+07,11741334.0,18
2010-01-12,1.02730024e+08,2.1312435e+06,51298624.0,20
2010-01-13,1.041152e+08,2.8255392e+07,26128068.0,15
2010-01-14,1.0367508e+08,2.334873e+06,46663832.0,20
2010-01-15,1.0435962e+08,1.9483316e+07,17151016.0,17
2010-01-19,1.0334303e+08,3.0359455e+06,35232040.0,20
2010-01-20,1.0323398e+08,3.2734968e+07,29703476.0,14
2010-01-21,1.0158728e+08,2.809965e+06,51357528.0,20
2010-01-22,1.0074294e+08,8.047274e+06,5238094.5,19
2010-01-25,1.0211501e+08,3.07006e+06,35876004.0,20
2010-01-26,1.0147797e+08,1.7953048e+07,14885222.0,17
2010-01-27,1.0214115e+08,4.813002e+06,48156148.0,20
2010-01-28,1.0267323e+08,4.7226955e+06,20448014.0,20
2010-01-29,1.0194565e+08,3.7948925e+06,29661660.0,20
2010-02-01,1.0357611e+08,2.3861274e+07,20069392.0,16
2010-02-02,1.0387483e+08,1.2235045e+06,101978888.0,20
2010-02-03,1.0339554e+08,2.2437064e+07,21216742.0,16
2010-02-04,9.999024e+07,2.744703e+06,50313604.0,20
2010-02-05,9.966873e+07,2.744703e+06,0.0,20
2010-02-08,9.961421e+07,2.7890016e+07,25149088.0,15
2010-02-09,1.0074863e+08,2.8250295e+06,55548556.0,20
2010-02-10,1.01913896e+08,1.7910782e+07,15088016.0,17
2010-02-11,1.0229694e+08,2.6440425e+06,87013448.0,20
2010-02-12,1.02883736e+08,2.8046242e+07,25406010.0,15
2010-02-16,1.0342828e+08,1.265228e+06,76662552.0,20
2010-02-17,1.0326253e+08,3.7983116e+07,36723392.0,13
2010-02-18,1.039143e+08,2.26855e+06,99408248.0,20
2010-02-19,1.0613453e+08,4.376614e+07,41503812.0,12
2010-02-22,1.0440718e+08,1.69394e+07,46261268.0,17
2010-02-23,1.035208e+08,2.1735288e+07,35859120.0,16
2010-02-24,1.03991544e+08,1.015173e+06,62487864.0,20
2010-02-25,1.0404302e+08,1.1528111e+07,10514515.0,18
2010-02-26,1.0423516e+08,1.381908e+06,41980792.0,20
2010-03-01,1.0314638e+08,6.610887e+06,5229763.5,19
2010-03-02,1.0068464e+08,1.4790205e+06,65363236.0,20
2010-03-03,9.9547736e+07,3.3404556e+07,31930326.0,14
2010-03-04,9.9985384e+07,1.377625e+06,47974256.0,20
2010-03-05,1.0060646e+08,3.1330224e+07,29957092.0,14
2010-03-08,1.0026323e+08,3.652564e+07,75398728.0,13
2010-03-09,1.0000889e+08,1.662156e+07,60119196.0,17
2010-03-10,1.0099415e+08,2.1811784e+07,65801732.0,16
2010-03-11,1.0070281e+08,1.0236375e+06,59790168.0,20
2010-03-12,1.0044585e+08,6.153301e+06,5130433.0,19
2010-03-15,9.98354e+07,1.3747285e+06,55134932.0,20
2010-03-16,1.00995176e+08,3.6679344e+07,35309912.0,13
2010-03-17,1.01455336e+08,760548.5,85814808.0,20
2010-03-18,1.0196585e+08,1.6312144e+07,15553928.0,17
2010-03-19,1.0186703e+08,609130.0,96380392.0,20
2010-03-22,1.02706664e+08,2.7194282e+07,26589142.0,15
2010-03-23,1.037245e+08,1.2125475e+06,46637236.0,20
2010-03-24,1.0318434e+08,1.585361e+07,14643259.0,17
2010-03-25,1.0208475e+08,1.257295e+06,36454236.0,20
2010-03-26,1.0151094e+08,1.691703e+07,15662084.0,17
2010-03-29,9.8533176e+07,2.5289e+06,34886232.0,20
2010-03-30,9.757241e+07,7.48829e+06,4960134.0,19
2010-03-31,9.885279e+07,156460.5,42103612.0,20
2010-04-01,9.898464e+07,1.9988948e+07,19835464.0,16
2010-04-05,1.0026119e+08,395591.0,40572676.0,20
2010-04-06,1.02158184e+08,2.740444e+07,27012902.0,15
2010-04-07,1.0154509e+08,1.190087e+06,75353272.0,20
2010-04-08,1.0322232e+08,2.6441282e+07,25254984.0,15
2010-04-09,1.01771384e+08,880343.5,76230848.0,20
2010-04-12,1.0143351e+08,3.1603532e+07,30727800.0,14
2010-04-13,1.0156724e+08,1.1138355e+06,60918060.0,20
2010-04-14,1.0338298e+08,3.1792432e+07,30683196.0,14
2010-04-15,1.04316776e+08,5.1509525e+06,67262272.0,19
2010-04-16,1.0338573e+08,850746.0,47403204.0,20
2010-04-19,1.0212541e+08,2.1100102e+07,20252396.0,16
2010-04-20,1.0347257e+08,684017.0,103785056.0,20
2010-04-21,1.0168025e+08,1.0503658e+07,9821114.0,18
2010-04-22,1.0125501e+08,680295.5,30664436.0,20
2010-04-23,1.04123336e+08,4.0871756e+07,40197496.0,12
2010-04-26,1.04011736e+08,461947.5,105243912.0,20
2010-04-27,1.0154511e+08,1.0644276e+07,10183856.0,18
2010-04-28,1.0401704e+08,2.5097315e+06,33479224.0,20
2010-04-29,1.0564252e+08,3.4261244e+07,31756272.0,14
2010-04-30,1.0445193e+08,3.074849e+06,41940408.0,20
2010-05-03,1.0552381e+08,2.4815752e+07,21744164.0,16
2010-05-04,1.03801464e+08,3.881852e+06,41356848.0,20
2010-05-05,1.0239351e+08,3.2762482e+07,28884964.0,14
2010-05-06,9.910835e+07,3.0322725e+06,29725750.0,20
2010-05-07,9.897579e+07,7.9942585e+06,4962730.5,19
2010-05-10,1.0180497e+08,4.4813465e+06,47400188.0,20
2010-05-11,1.0192399e+08,1.4581168e+07,10101336.0,18
2010-05-12,1.03858456e+08,4.8375245e+06,42194884.0,20
2010-05-13,1.0304733e+08,2.4131315e+06,100651600.0,20
2010-05-14,1.0211906e+08,3.0384234e+07,27975298.0,14
2010-05-17,1.0004939e+08,664541.0,80359872.0,20
2010-05-18,9.8477896e+07,3.5454612e+07,34795292.0,13
2010-05-19,9.681127e+07,2.0494682e+07,52821392.0,16
2010-05-20,9.46361e+07,2.5304608e+07,4810647.0,15
2010-05-21,9.709345e+07,1.3875825e+06,44059540.0,20
2010-05-24,9.582143e+07,1.1986584e+07,10600592.0,18
2010-05-25,9.580514e+07,2.2231875e+06,18981832.0,20
2010-05-26,9.675835e+07,2.690554e+07,24686054.0,15
2010-05-27,1.0262593e+08,3.3876425e+06,120192360.0,20
2010-05-28,1.0312295e+08,1.7629602e+07,14244096.0,17
2010-06-01,1.0310305e+08,827429.5,65697984.0,20
2010-06-02,1.009022e+08,4.2824864e+07,42003732.0,12
2010-06-03,1.001661e+08,1.6540518e+07,63883260.0,17
2010-06-04,9.973791e+07,1.761274e+07,40975972.0,17
2010-06-07,1.0098374e+08,7.7802595e+06,70971624.0,19
2010-06-08,1.0011476e+08,3.591365e+06,55892992.0,20
2010-06-09,9.776125e+07,1.338791e+07,9798015.0,18
2010-06-10,1.00025016e+08,1.689912e+06,28317754.0,20
2010-06-11,1.0140301e+08,2.2631014e+07,20944244.0,16
2010-06-14,1.0000888e+08,3.4421835e+06,80835568.0,20
2010-06-15,1.01480856e+08,3.740449e+07,33967396.0,13
2010-06-16,1.0126168e+08,2.0842455e+06,45683264.0,20
2010-06-17,1.0135747e+08,1.1966116e+07,9883354.0,18
2010-06-18,1.0125038e+08,1.1997847e+07,70924856.0,18
2010-06-21,1.01227224e+08,6.65874e+06,55377888.0,19
2010-06-22,1.0078316e+08,1.1548114e+07,45212072.0,18
2010-06-23,1.0053612e+08,1.497683e+06,30170332.0,20
2010-06-24,9.776799e+07,1.5847626e+07,14352096.0,17
2010-06-25,9.8550056e+07,712021.0,44004944.0,20
2010-06-28,9.821893e+07,1.1970704e+07,11260372.0,18
2010-06-29,9.473287e+07,3.0800655e+06,29008596.0,20
2010-06-30,9.658234e+07,1.3344844e+07,10266318.0,18
2010-07-01,9.48876e+07,2.825241e+06,17950170.0,20
2010-07-02,9.457958e+07,2.1154916e+07,18332426.0,16
2010-07-06,9.4977784e+07,2.195625e+06,38036444.0,20
2010-07-07,9.551091e+07,4.46514e+07,42462152.0,11
2010-07-08,9.631767e+07,1.301383e+06,43343512.0,20
2010-07-09,9.814595e+07,1.6970704e+07,15671672.0,17
2010-07-12,9.680838e+07,1.1558435e+06,61639272.0,20
2010-07-13,9.819602e+07,6.3614384e+07,62467908.0,7
2010-07-14,9.873048e+07,3.893248e+07,34555112.0,12
2010-07-15,9.756217e+07,3.952256e+07,49382228.0,12
2010-07-16,9.836233e+07,6.454614e+07,34865564.0,7
2010-07-19,9.849451e+07,2.0214314e+07,44325176.0,16
2010-07-20,9.8673624e+07,455119.0,29584252.0,20
2010-07-21,9.94445e+07,2.0836798e+07,20384738.0,16
2010-07-22,1.0008371e+08,998030.5,70256368.0,20
2010-07-23,1.027799e+08,3.2322346e+07,31329016.0,14
2010-07-26,1.0366705e+08,1.831355e+06,125053112.0,20
2010-07-27,1.0634802e+08,4.0783988e+07,38958480.0,13
2010-07-28,1.0404102e+08,1.4074738e+07,108555264.0,18
2010-07-29,1.0403262e+08,1.9260408e+07,25996870.0,17
2010-07-30,1.0922325e+08,1.6683162e+07,62971800.0,17
2010-08-02,1.09154584e+08,5.780218e+06,43684136.0,19
2010-08-03,1.0618579e+08,1.421152e+06,91233864.0,20
2010-08-04,1.0917032e+08,3.4633468e+07,33217298.0,14
2010-08-05,1.08446184e+08,2.213007e+06,76047784.0,20
2010-08-06,1.07757144e+08,3.6175564e+07,33967656.0,14
2010-08-09,1.077417e+08,3.786949e+06,42950248.0,20
2010-08-10,1.0634282e+08,3.0901712e+07,27118832.0,15
2010-08-11,1.034635e+08,5.106035e+06,36286128.0,20
2010-08-12,1.03845544e+08,5.7624605e+06,21429354.0,20
2010-08-13,1.042187e+08,5.888136e+06,20973186.0,20
2010-08-16,1.0380262e+08,4.6536085e+06,29912080.0,20
